,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29
gene_39,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
gene_40,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,1,1,0,0,2,0,0,0,0,1
gene_41,1,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,3,0,1,0,0,0,2,0,0,0,0
gene_42,16,24,11,8,22,2,14,1,19,24,1,8,15,14,3,3,11,12,5,32,12,27,16,34,34,25,1,6,0,17
gene_43,0,0,1,0,1,2,1,0,1,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0
gene_44,14,28,17,11,8,1,14,0,12,29,1,5,20,8,4,4,9,21,11,30,9,13,18,24,31,36,0,6,4,16
gene_45,1,6,2,2,1,1,3,1,3,2,0,1,3,0,2,2,2,0,2,8,4,7,4,4,2,5,1,3,1,0
gene_46,6,13,8,8,8,2,7,1,9,15,2,7,14,5,3,2,5,7,4,6,5,3,9,13,10,18,3,9,1,8
gene_47,1,1,1,3,1,0,0,0,0,1,0,2,1,0,0,0,1,0,0,5,0,0,0,1,0,1,1,0,0,0
gene_48,5,7,7,1,4,1,9,0,3,11,3,2,7,1,2,5,2,5,1,6,5,2,6,0,11,6,2,5,0,1
gene_49,3,6,3,0,3,0,8,1,2,4,1,0,7,1,0,2,0,2,0,5,2,1,3,1,4,8,1,2,0,3
gene_50,8,11,8,9,6,4,13,0,10,7,2,6,11,4,0,2,4,9,6,10,10,14,5,12,12,13,1,4,0,4
gene_51,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
gene_52,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0
gene_53,2,5,4,2,5,2,5,0,5,5,1,2,5,2,0,2,7,7,5,8,5,6,5,13,9,11,2,4,0,7
